Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

字型載入成功:font_name=Cubic 11

=== 逐解析度 × 候選規則 × N 值 ===
resolution,candidate,N,font_px,scale_pct_of_height
960x540,A_board_locked,2,22,4.07%
960x540,B_height_capped,2,22,4.07%
960x540,C_percent_round,2,22,4.07%
1920x1080,A_board_locked,4,44,4.07%
1920x1080,B_height_capped,4,44,4.07%
1920x1080,C_percent_round,3,33,3.06%
2560x1440,A_board_locked,5,55,3.82%
2560x1440,B_height_capped,5,55,3.82%
2560x1440,C_percent_round,4,44,3.06%
3440x1440,A_board_locked,5,55,3.82%
3440x1440,B_height_capped,5,55,3.82%
3440x1440,C_percent_round,4,44,3.06%
3840x2160,A_board_locked,8,88,4.07%
3840x2160,B_height_capped,6,66,3.06%
3840x2160,C_percent_round,6,66,3.06%
1366x768,A_board_locked,2,22,2.86%
1366x768,B_height_capped,3,33,4.30%
1366x768,C_percent_round,2,22,2.86%
1600x900,A_board_locked,3,33,3.67%
1600x900,B_height_capped,4,44,4.89%
1600x900,C_percent_round,2,22,2.44%
2560x1080,A_board_locked,4,44,4.07%
2560x1080,B_height_capped,4,44,4.07%
2560x1080,C_percent_round,3,33,3.06%

=== 真實字串渲染尺寸(Font.get_string_size,Cubic 11)===
resolution,candidate,N,font_px,text_label,measured_w,measured_h
3840x2160,A_board_locked,8,88,InfoLabel,1071.0,104.0
3840x2160,A_board_locked,8,88,ControlsHintLabel,2750.0,104.0
3840x2160,A_board_locked,8,88,ResultLabel,191.0,104.0
3840x2160,B_height_capped,6,66,StatusLabel,689.0,77.0
3840x2160,B_height_capped,6,66,InfoLabel,804.0,77.0
3840x2160,B_height_capped,6,66,ControlsHintLabel,2064.0,77.0
3840x2160,B_height_capped,6,66,ResultLabel,143.0,77.0
3840x2160,C_percent_round,6,66,StatusLabel,689.0,77.0
3840x2160,C_percent_round,6,66,InfoLabel,804.0,77.0
3840x2160,C_percent_round,6,66,ControlsHintLabel,2064.0,77.0
3840x2160,C_percent_round,6,66,ResultLabel,143.0,77.0
1366x768,A_board_locked,2,22,StatusLabel,229.0,27.0
1366x768,A_board_locked,2,22,InfoLabel,267.0,27.0
1366x768,A_board_locked,2,22,ControlsHintLabel,686.0,27.0
1366x768,A_board_locked,2,22,ResultLabel,48.0,27.0
1366x768,B_height_capped,3,33,StatusLabel,344.0,39.0
1366x768,B_height_capped,3,33,InfoLabel,402.0,39.0
1366x768,B_height_capped,3,33,ControlsHintLabel,1033.0,39.0
1366x768,B_height_capped,3,33,ResultLabel,72.0,39.0
1366x768,C_percent_round,2,22,StatusLabel,229.0,27.0
1366x768,C_percent_round,2,22,InfoLabel,267.0,27.0
1366x768,C_percent_round,2,22,ControlsHintLabel,686.0,27.0
1366x768,C_percent_round,2,22,ResultLabel,48.0,27.0
1600x900,A_board_locked,3,33,StatusLabel,344.0,39.0
1600x900,A_board_locked,3,33,InfoLabel,402.0,39.0
1600x900,A_board_locked,3,33,ControlsHintLabel,1033.0,39.0
1600x900,A_board_locked,3,33,ResultLabel,72.0,39.0
1600x900,B_height_capped,4,44,StatusLabel,458.0,52.0
1600x900,B_height_capped,4,44,InfoLabel,535.0,52.0
1600x900,B_height_capped,4,44,ControlsHintLabel,1375.0,52.0
1600x900,B_height_capped,4,44,ResultLabel,95.0,52.0
1600x900,C_percent_round,2,22,StatusLabel,229.0,27.0
1600x900,C_percent_round,2,22,InfoLabel,267.0,27.0
1600x900,C_percent_round,2,22,ControlsHintLabel,686.0,27.0
1600x900,C_percent_round,2,22,ResultLabel,48.0,27.0
2560x1080,A_board_locked,4,44,StatusLabel,458.0,52.0
2560x1080,A_board_locked,4,44,InfoLabel,535.0,52.0
2560x1080,A_board_locked,4,44,ControlsHintLabel,1375.0,52.0
2560x1080,A_board_locked,4,44,ResultLabel,95.0,52.0
2560x1080,B_height_capped,4,44,StatusLabel,458.0,52.0
2560x1080,B_height_capped,4,44,InfoLabel,535.0,52.0
2560x1080,B_height_capped,4,44,ControlsHintLabel,1375.0,52.0
2560x1080,B_height_capped,4,44,ResultLabel,95.0,52.0
2560x1080,C_percent_round,3,33,StatusLabel,344.0,39.0
2560x1080,C_percent_round,3,33,InfoLabel,402.0,39.0
2560x1080,C_percent_round,3,33,ControlsHintLabel,1033.0,39.0
2560x1080,C_percent_round,3,33,ResultLabel,72.0,39.0

=== 安全區(title-safe,每邊內縮 5%)寬度是否放得下 ControlsHintLabel ===
resolution,candidate,N,font_px,safe_area_w,measured_w,fits
960x540,A_board_locked,2,22,864.0,686.0,true
960x540,B_height_capped,2,22,864.0,686.0,true
960x540,C_percent_round,2,22,864.0,686.0,true
1920x1080,A_board_locked,4,44,1728.0,1375.0,true
1920x1080,B_height_capped,4,44,1728.0,1375.0,true
1920x1080,C_percent_round,3,33,1728.0,1033.0,true
2560x1440,A_board_locked,5,55,2304.0,1718.0,true
2560x1440,B_height_capped,5,55,2304.0,1718.0,true
2560x1440,C_percent_round,4,44,2304.0,1375.0,true
3440x1440,A_board_locked,5,55,3096.0,1718.0,true
3440x1440,B_height_capped,5,55,3096.0,1718.0,true
3440x1440,C_percent_round,4,44,3096.0,1375.0,true
3840x2160,A_board_locked,8,88,3456.0,2750.0,true
3840x2160,B_height_capped,6,66,3456.0,2064.0,true
3840x2160,C_percent_round,6,66,3456.0,2064.0,true
1366x768,A_board_locked,2,22,1229.4,686.0,true
1366x768,B_height_capped,3,33,1229.4,1033.0,true
1366x768,C_percent_round,2,22,1229.4,686.0,true
1600x900,A_board_locked,3,33,1440.0,1033.0,true
1600x900,B_height_capped,4,44,1440.0,1375.0,true
1600x900,C_percent_round,2,22,1440.0,686.0,true
2560x1080,A_board_locked,4,44,2304.0,1375.0,true
2560x1080,B_height_capped,4,44,2304.0,1375.0,true
2560x1080,C_percent_round,3,33,2304.0,1033.0,true
